                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4127,                 1.4459,                 1.4907,                0.58101,                0.54545,                0.47112,                0.23589,                 1.6498,                 1.6502,                  1.723,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5048,                 1.4985,                 1.5537,                0.61614,                0.58396,                 0.5212,                0.26961,                 1.5754,                 1.6011,                 1.6925,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4722,                 1.4176,                  1.499,                0.68307,                0.59091,                0.55107,                0.32771,                 1.5412,                 1.5625,                 1.6946,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4796,                 1.4603,                 1.5234,                0.68369,                0.54545,                0.55932,                0.32199,                 1.5585,                 1.5559,                 1.7347,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4836,                  1.364,                 1.5008,                0.78372,                0.54545,                0.60044,                0.29732,                  1.673,                 1.5349,                 1.8261,               0.000416,               0.000416,               0.000416
                     83,                 1.4118,                 1.3401,                 1.4628,                0.92843,                0.58976,                 0.6217,                0.31681,                 1.7795,                 1.4902,                 1.8911,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4238,                 1.3566,                 1.4702,                0.75288,                0.54545,                0.54344,                0.28009,                 1.7801,                 1.5555,                 1.8859,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4377,                 1.3871,                 1.4774,                 0.7122,                0.54545,                 0.5652,                0.28938,                  1.823,                 1.4582,                 1.8802,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4591,                 1.4521,                 1.5217,                 0.6565,                0.54545,                0.52165,                0.28678,                 1.8049,                 1.4575,                 1.8612,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4554,                 1.3914,                 1.5096,                0.71817,                0.59091,                0.62476,                0.28233,                 1.7478,                 1.4418,                 1.8318,               0.000317,               0.000317,               0.000317
                     88,                 1.3982,                 1.3231,                 1.4567,                0.65702,                0.59091,                0.62896,                 0.2944,                 1.7501,                 1.4749,                 1.8457,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4408,                 1.4297,                 1.5133,                0.76863,                    0.5,                0.57783,                0.27514,                 1.7282,                 1.4958,                  1.834,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.3931,                 1.3486,                 1.4438,                0.67896,                    0.5,                 0.5269,                0.25889,                 1.7315,                 1.4793,                 1.8453,              0.0002576,              0.0002576,              0.0002576
